year,estimate_type,county,total_housing_units,occupied_units,vacant_units,total_occupied,occupancy_rate,vacancy_pct
2019,1-year,"Lonoke County, Arkansas",30112.0,26052.0,4060.0,,86.52,13.48
2020,5-year,"Lonoke County, Arkansas",,,,27218.0,,
2021,1-year,"Lonoke County, Arkansas",,,,27880.0,,
2022,1-year,"Lonoke County, Arkansas",30924.0,28268.0,2656.0,28268.0,91.41,8.59
2023,1-year,"Lonoke County, Arkansas",31183.0,29388.0,1795.0,29388.0,94.24,5.76
2023,5-year,"Lonoke County, Arkansas",30566.0,27817.0,2749.0,27817.0,91.01,8.99
2024,1-year,"Lonoke County, Arkansas",31543.0,29634.0,1909.0,29634.0,93.95,6.05
