year,county,num_firms,num_establishments,num_employees,establishments_born,establishments_exited,jobs_created,jobs_destroyed,net_jobs_created,net_job_creation_rate,employees_per_firm,net_establishment_change,job_churn
1986,"Lonoke County, Arkansas",,,,,,,,,X,,,
1986,"Lonoke County, Arkansas",172.0,178.0,,5.0,8.0,215.0,358.0,,−3.430,,-3.0,573.0
1986,"Lonoke County, Arkansas",497.0,523.0,,87.0,72.0,995.0,886.0,109.0,1.694,,15.0,1881.0
1987,"Lonoke County, Arkansas",114.0,118.0,946.0,,16.0,127.0,173.0,,−4.733,8.3,,300.0
1987,"Lonoke County, Arkansas",491.0,520.0,,85.0,89.0,966.0,,,−9.594,,-4.0,
1987,"Lonoke County, Arkansas",157.0,164.0,,4.0,18.0,178.0,,,−22.673,,-14.0,
1987,"Lonoke County, Arkansas",163.0,166.0,,7.0,55.0,174.0,375.0,,−15.551,,-48.0,549.0
1987,"Lonoke County, Arkansas",70.0,72.0,494.0,72.0,,494.0,,494.0,200.000,7.06,,
1987,"Lonoke County, Arkansas",,,,,,,,,X,,,
1987,"Lonoke County, Arkansas",491.0,520.0,,85.0,89.0,966.0,,,−9.594,,-4.0,
1988,"Lonoke County, Arkansas",114.0,120.0,940.0,8.0,8.0,144.0,92.0,52.0,5.686,8.25,0.0,236.0
1988,"Lonoke County, Arkansas",506.0,540.0,,77.0,57.0,997.0,557.0,440.0,7.213,,20.0,1554.0
1988,"Lonoke County, Arkansas",53.0,58.0,242.0,58.0,,242.0,,242.0,200.000,4.57,,
1988,"Lonoke County, Arkansas",17.0,17.0,239.0,0.0,,12.0,6.0,6.0,2.532,14.06,,18.0
1988,"Lonoke County, Arkansas",506.0,540.0,,77.0,57.0,997.0,557.0,440.0,7.213,,20.0,1554.0
1988,"Lonoke County, Arkansas",184.0,191.0,,8.0,34.0,253.0,309.0,,−3.791,,-26.0,562.0
1988,"Lonoke County, Arkansas",147.0,154.0,,3.0,13.0,346.0,151.0,195.0,5.820,,-10.0,497.0
1989,"Lonoke County, Arkansas",112.0,114.0,845.0,6.0,12.0,163.0,269.0,,−11.903,7.54,-6.0,432.0
1989,"Lonoke County, Arkansas",185.0,195.0,,5.0,30.0,233.0,454.0,,−15.786,,-25.0,687.0
1989,"Lonoke County, Arkansas",40.0,42.0,418.0,,5.0,103.0,101.0,2.0,0.477,10.45,,204.0
1989,"Lonoke County, Arkansas",141.0,145.0,,,10.0,192.0,528.0,,−10.271,,,720.0
1989,"Lonoke County, Arkansas",64.0,64.0,443.0,64.0,,443.0,,443.0,200.000,6.92,,
1989,"Lonoke County, Arkansas",528.0,560.0,,77.0,57.0,,,,−3.256,,20.0,
1989,"Lonoke County, Arkansas",528.0,560.0,,77.0,57.0,,,,−3.256,,20.0,
1990,"Lonoke County, Arkansas",133.0,137.0,,0.0,8.0,431.0,161.0,270.0,8.367,,-8.0,592.0
1990,"Lonoke County, Arkansas",76.0,76.0,456.0,76.0,,456.0,,456.0,200.000,6.0,,
1990,"Lonoke County, Arkansas",61.0,64.0,656.0,,7.0,108.0,102.0,6.0,0.921,10.75,,210.0
1990,"Lonoke County, Arkansas",551.0,580.0,,88.0,69.0,,789.0,777.0,11.989,,19.0,
1990,"Lonoke County, Arkansas",109.0,112.0,790.0,6.0,10.0,210.0,149.0,61.0,7.979,7.25,-4.0,359.0
1990,"Lonoke County, Arkansas",551.0,580.0,,88.0,69.0,,789.0,777.0,11.989,,19.0,
1990,"Lonoke County, Arkansas",185.0,191.0,,5.0,44.0,365.0,375.0,,−0.621,,-39.0,740.0
1991,"Lonoke County, Arkansas",60.0,62.0,489.0,62.0,,489.0,,489.0,200.000,8.15,,
1991,"Lonoke County, Arkansas",539.0,574.0,,71.0,76.0,,,180.0,2.640,,-5.0,
1991,"Lonoke County, Arkansas",193.0,197.0,,,43.0,203.0,428.0,,−14.277,,,631.0
1991,"Lonoke County, Arkansas",106.0,110.0,,5.0,17.0,248.0,237.0,11.0,1.029,,-12.0,485.0
1991,"Lonoke County, Arkansas",74.0,76.0,654.0,,8.0,70.0,170.0,,−14.184,8.84,,240.0
1991,"Lonoke County, Arkansas",125.0,129.0,,,8.0,312.0,326.0,,−0.434,,,638.0
1991,"Lonoke County, Arkansas",539.0,574.0,,71.0,76.0,,,180.0,2.640,,-5.0,
1992,"Lonoke County, Arkansas",109.0,113.0,,4.0,15.0,144.0,237.0,,−8.540,,-11.0,381.0
1992,"Lonoke County, Arkansas",85.0,86.0,723.0,,8.0,106.0,136.0,,−4.051,8.51,,242.0
1992,"Lonoke County, Arkansas",559.0,594.0,,90.0,71.0,,,121.0,1.753,,19.0,
1992,"Lonoke County, Arkansas",186.0,192.0,,,41.0,458.0,398.0,60.0,3.294,,,856.0
1992,"Lonoke County, Arkansas",79.0,79.0,410.0,79.0,,410.0,,410.0,200.000,5.19,,
1992,"Lonoke County, Arkansas",120.0,124.0,,3.0,7.0,244.0,455.0,,−6.931,,-4.0,699.0
1992,"Lonoke County, Arkansas",559.0,594.0,,90.0,71.0,,,121.0,1.753,,19.0,
1993,"Lonoke County, Arkansas",198.0,202.0,,7.0,44.0,273.0,425.0,,−9.064,,-37.0,698.0
1993,"Lonoke County, Arkansas",594.0,627.0,,104.0,71.0,,,,−0.057,,33.0,
1993,"Lonoke County, Arkansas",594.0,627.0,,104.0,71.0,,,,−0.057,,33.0,
1993,"Lonoke County, Arkansas",115.0,119.0,,5.0,14.0,207.0,303.0,,−7.950,,-9.0,510.0
1993,"Lonoke County, Arkansas",115.0,118.0,,,8.0,130.0,345.0,,−7.554,,,475.0
1993,"Lonoke County, Arkansas",86.0,86.0,436.0,86.0,,436.0,,436.0,200.000,5.07,,
1993,"Lonoke County, Arkansas",97.0,102.0,,4.0,5.0,133.0,99.0,34.0,3.254,,-1.0,232.0
1994,"Lonoke County, Arkansas",628.0,670.0,,113.0,71.0,,891.0,564.0,7.608,,42.0,
1994,"Lonoke County, Arkansas",628.0,670.0,,113.0,71.0,,891.0,564.0,7.608,,42.0,
1994,"Lonoke County, Arkansas",111.0,115.0,,6.0,11.0,206.0,198.0,8.0,0.671,,-5.0,404.0
1994,"Lonoke County, Arkansas",120.0,124.0,,4.0,7.0,185.0,87.0,98.0,7.570,,-3.0,272.0
1994,"Lonoke County, Arkansas",107.0,110.0,,0.0,9.0,152.0,146.0,6.0,0.208,,-9.0,298.0
1994,"Lonoke County, Arkansas",218.0,222.0,,4.0,44.0,217.0,458.0,,−14.106,,-40.0,675.0
1994,"Lonoke County, Arkansas",93.0,99.0,680.0,99.0,,680.0,,680.0,200.000,7.31,,
1995,"Lonoke County, Arkansas",133.0,136.0,,,9.0,145.0,158.0,,−0.925,,,303.0
1995,"Lonoke County, Arkansas",116.0,119.0,,6.0,11.0,137.0,273.0,,−10.346,,-5.0,410.0
1995,"Lonoke County, Arkansas",103.0,105.0,,,6.0,402.0,140.0,262.0,8.680,,,542.0
1995,"Lonoke County, Arkansas",685.0,729.0,,132.0,73.0,,963.0,573.0,7.189,,59.0,
1995,"Lonoke County, Arkansas",238.0,250.0,,5.0,47.0,407.0,391.0,16.0,0.796,,-42.0,798.0
1995,"Lonoke County, Arkansas",117.0,119.0,441.0,119.0,,441.0,,441.0,200.000,3.77,,
1995,"Lonoke County, Arkansas",685.0,729.0,,132.0,73.0,,963.0,573.0,7.189,,59.0,
1996,"Lonoke County, Arkansas",150.0,155.0,,3.0,6.0,268.0,260.0,8.0,0.468,,-3.0,528.0
1996,"Lonoke County, Arkansas",97.0,99.0,,0.0,6.0,170.0,190.0,,−0.637,,-6.0,360.0
1996,"Lonoke County, Arkansas",706.0,756.0,,107.0,78.0,,,283.0,3.375,,29.0,
1996,"Lonoke County, Arkansas",706.0,756.0,,107.0,78.0,,,283.0,3.375,,29.0,
1996,"Lonoke County, Arkansas",118.0,119.0,,,15.0,144.0,284.0,,−11.475,,,428.0
1996,"Lonoke County, Arkansas",271.0,285.0,,4.0,51.0,352.0,400.0,,−2.310,,-47.0,752.0
1996,"Lonoke County, Arkansas",95.0,98.0,477.0,98.0,,477.0,,477.0,200.000,5.02,,
1997,"Lonoke County, Arkansas",92.0,93.0,,0.0,6.0,170.0,347.0,,−5.829,,-6.0,517.0
1997,"Lonoke County, Arkansas",81.0,84.0,424.0,84.0,,424.0,,424.0,200.000,5.23,,
1997,"Lonoke County, Arkansas",715.0,764.0,,96.0,89.0,,,,−2.662,,7.0,
1997,"Lonoke County, Arkansas",124.0,126.0,,7.0,14.0,178.0,201.0,,−1.812,,-7.0,379.0
1997,"Lonoke County, Arkansas",284.0,297.0,,3.0,59.0,249.0,440.0,,−8.672,,-56.0,689.0
1997,"Lonoke County, Arkansas",715.0,764.0,,96.0,89.0,,,,−2.662,,7.0,
1997,"Lonoke County, Arkansas",158.0,164.0,,,10.0,193.0,453.0,,−15.016,,,646.0
1998,"Lonoke County, Arkansas",131.0,134.0,,3.0,16.0,140.0,190.0,,−4.212,,-13.0,330.0
1998,"Lonoke County, Arkansas",174.0,179.0,,3.0,10.0,222.0,262.0,,−2.035,,-7.0,484.0
1998,"Lonoke County, Arkansas",739.0,791.0,,101.0,74.0,,,673.0,7.760,,27.0,
1998,"Lonoke County, Arkansas",284.0,299.0,,5.0,44.0,385.0,422.0,,−1.702,,-39.0,807.0
1998,"Lonoke County, Arkansas",739.0,791.0,,101.0,74.0,,,673.0,7.760,,27.0,
1998,"Lonoke County, Arkansas",85.0,87.0,661.0,87.0,,661.0,,661.0,200.000,7.78,,
1998,"Lonoke County, Arkansas",91.0,92.0,,3.0,4.0,310.0,154.0,156.0,5.172,,-1.0,464.0
1999,"Lonoke County, Arkansas",284.0,302.0,,3.0,46.0,403.0,557.0,,−6.283,,-43.0,960.0
1999,"Lonoke County, Arkansas",90.0,91.0,,,,79.0,408.0,,−11.234,,,487.0
1999,"Lonoke County, Arkansas",86.0,86.0,382.0,86.0,,382.0,,382.0,200.000,4.44,,
1999,"Lonoke County, Arkansas",765.0,814.0,,101.0,78.0,,,,−1.247,,23.0,
1999,"Lonoke County, Arkansas",144.0,147.0,,5.0,12.0,198.0,160.0,38.0,3.081,,-7.0,358.0
1999,"Lonoke County, Arkansas",765.0,814.0,,101.0,78.0,,,,−1.247,,23.0,
1999,"Lonoke County, Arkansas",183.0,188.0,,6.0,18.0,231.0,270.0,,−1.791,,-12.0,501.0
