year,county,num_firms,num_establishments,num_employees,establishments_born,establishments_exited,jobs_created,jobs_destroyed,net_jobs_created,net_job_creation_rate,employees_per_firm,net_establishment_change,job_churn
2014,"Lonoke County, Arkansas",64.0,66.0,373.0,66.0,,373.0,,373.0,200.000,5.83,,
2014,"Lonoke County, Arkansas",181.0,190.0,,6.0,19.0,172.0,184.0,,−0.751,,-13.0,356.0
2014,"Lonoke County, Arkansas",225.0,232.0,,5.0,48.0,432.0,348.0,84.0,4.423,,-43.0,780.0
2014,"Lonoke County, Arkansas",832.0,910.0,,85.0,90.0,,,83.0,0.805,,-5.0,
2014,"Lonoke County, Arkansas",347.0,375.0,,8.0,23.0,264.0,608.0,,−7.507,,-15.0,872.0
2014,"Lonoke County, Arkansas",832.0,910.0,,85.0,90.0,,,83.0,0.805,,-5.0,
2014,"Lonoke County, Arkansas",47.0,47.0,,0.0,0.0,106.0,107.0,,−0.049,,0.0,213.0
2015,"Lonoke County, Arkansas",829.0,915.0,,77.0,72.0,,979.0,869.0,8.044,,5.0,
2015,"Lonoke County, Arkansas",58.0,64.0,688.0,64.0,,688.0,,688.0,200.000,11.86,,
2015,"Lonoke County, Arkansas",354.0,382.0,,4.0,21.0,573.0,391.0,182.0,3.842,,-17.0,964.0
2015,"Lonoke County, Arkansas",184.0,189.0,,3.0,14.0,148.0,214.0,,−4.257,,-11.0,362.0
2015,"Lonoke County, Arkansas",829.0,915.0,,77.0,72.0,,979.0,869.0,8.044,,5.0,
2015,"Lonoke County, Arkansas",223.0,233.0,,6.0,37.0,381.0,342.0,39.0,1.844,,-31.0,723.0
2015,"Lonoke County, Arkansas",47.0,47.0,,0.0,0.0,47.0,31.0,16.0,0.778,,0.0,78.0
2016,"Lonoke County, Arkansas",852.0,945.0,,105.0,75.0,,,221.0,1.945,,30.0,
2016,"Lonoke County, Arkansas",43.0,43.0,,0.0,4.0,75.0,94.0,,−0.924,,-4.0,169.0
2016,"Lonoke County, Arkansas",86.0,91.0,391.0,91.0,,391.0,,391.0,200.000,4.55,,
2016,"Lonoke County, Arkansas",179.0,184.0,,4.0,19.0,130.0,240.0,,−6.847,,-15.0,370.0
2016,"Lonoke County, Arkansas",368.0,400.0,,4.0,22.0,528.0,424.0,104.0,2.000,,-18.0,952.0
2016,"Lonoke County, Arkansas",214.0,227.0,,6.0,30.0,292.0,441.0,,−6.474,,-24.0,733.0
2016,"Lonoke County, Arkansas",852.0,945.0,,105.0,75.0,,,221.0,1.945,,30.0,
2017,"Lonoke County, Arkansas",41.0,41.0,,0.0,,235.0,57.0,178.0,8.318,,,292.0
2017,"Lonoke County, Arkansas",238.0,257.0,,6.0,37.0,343.0,442.0,,−4.580,,-31.0,785.0
2017,"Lonoke County, Arkansas",164.0,165.0,,3.0,13.0,181.0,187.0,,−0.395,,-10.0,368.0
2017,"Lonoke County, Arkansas",858.0,947.0,,82.0,80.0,,,277.0,2.404,,2.0,
2017,"Lonoke County, Arkansas",66.0,67.0,357.0,67.0,,357.0,,357.0,200.000,5.41,,
2017,"Lonoke County, Arkansas",383.0,417.0,,6.0,28.0,524.0,670.0,,−2.644,,-22.0,1194.0
2017,"Lonoke County, Arkansas",858.0,947.0,,82.0,80.0,,,277.0,2.404,,2.0,
2018,"Lonoke County, Arkansas",40.0,40.0,,0.0,,57.0,302.0,,−11.636,,,359.0
2018,"Lonoke County, Arkansas",154.0,157.0,,4.0,17.0,201.0,297.0,,−5.630,,-13.0,498.0
2018,"Lonoke County, Arkansas",76.0,78.0,392.0,78.0,,392.0,,392.0,200.000,5.16,,
2018,"Lonoke County, Arkansas",864.0,955.0,,89.0,80.0,,,,−1.245,,9.0,
2018,"Lonoke County, Arkansas",398.0,435.0,,4.0,19.0,562.0,616.0,,−0.952,,-15.0,1178.0
2018,"Lonoke County, Arkansas",864.0,955.0,,89.0,80.0,,,,−1.245,,9.0,
2018,"Lonoke County, Arkansas",231.0,245.0,,3.0,43.0,257.0,408.0,,−8.006,,-40.0,665.0
2019,"Lonoke County, Arkansas",223.0,237.0,,,38.0,198.0,279.0,,−4.776,,,477.0
2019,"Lonoke County, Arkansas",867.0,955.0,,84.0,85.0,,,191.0,1.654,,-1.0,
2019,"Lonoke County, Arkansas",159.0,164.0,,5.0,15.0,213.0,321.0,,−5.982,,-10.0,534.0
2019,"Lonoke County, Arkansas",867.0,955.0,,84.0,85.0,,,191.0,1.654,,-1.0,
2019,"Lonoke County, Arkansas",70.0,72.0,561.0,72.0,,561.0,,561.0,200.000,8.01,,
2019,"Lonoke County, Arkansas",407.0,445.0,,6.0,29.0,326.0,498.0,,−2.966,,-23.0,824.0
2019,"Lonoke County, Arkansas",37.0,37.0,,0.0,3.0,52.0,68.0,,−0.812,,-3.0,120.0
2020,"Lonoke County, Arkansas",398.0,435.0,,,33.0,393.0,752.0,,−6.337,,,1145.0
2020,"Lonoke County, Arkansas",875.0,967.0,,91.0,79.0,,,,−0.543,,12.0,
2020,"Lonoke County, Arkansas",36.0,36.0,,0.0,,47.0,337.0,,−16.022,,,384.0
2020,"Lonoke County, Arkansas",235.0,249.0,,4.0,30.0,334.0,173.0,161.0,7.917,,-26.0,507.0
2020,"Lonoke County, Arkansas",160.0,168.0,,7.0,15.0,248.0,159.0,89.0,4.584,,-8.0,407.0
2020,"Lonoke County, Arkansas",875.0,967.0,,91.0,79.0,,,,−0.543,,12.0,
2020,"Lonoke County, Arkansas",75.0,79.0,324.0,79.0,,324.0,,324.0,200.000,4.32,,
2021,"Lonoke County, Arkansas",158.0,168.0,,5.0,11.0,241.0,288.0,,−2.171,,-6.0,529.0
2021,"Lonoke County, Arkansas",83.0,86.0,369.0,86.0,,369.0,,369.0,200.000,4.45,,
2021,"Lonoke County, Arkansas",890.0,988.0,,106.0,85.0,,,41.0,0.354,,21.0,
2021,"Lonoke County, Arkansas",408.0,447.0,,8.0,32.0,396.0,669.0,,−4.778,,-24.0,1065.0
2021,"Lonoke County, Arkansas",890.0,988.0,,106.0,85.0,,,41.0,0.354,,21.0,
2021,"Lonoke County, Arkansas",240.0,252.0,,6.0,40.0,352.0,254.0,98.0,5.087,,-34.0,606.0
2021,"Lonoke County, Arkansas",35.0,35.0,,,,25.0,146.0,,−7.577,,,171.0
2022,"Lonoke County, Arkansas",248.0,258.0,,8.0,40.0,312.0,348.0,,−1.786,,-32.0,660.0
2022,"Lonoke County, Arkansas",35.0,35.0,,,,354.0,62.0,292.0,17.299,,,416.0
2022,"Lonoke County, Arkansas",406.0,443.0,,10.0,33.0,469.0,537.0,,−1.172,,-23.0,1006.0
2022,"Lonoke County, Arkansas",78.0,79.0,437.0,79.0,,437.0,,437.0,200.000,5.6,,
2022,"Lonoke County, Arkansas",184.0,197.0,,6.0,6.0,212.0,322.0,,−5.272,,0.0,534.0
2022,"Lonoke County, Arkansas",913.0,,,104.0,80.0,,,494.0,4.182,,24.0,
2022,"Lonoke County, Arkansas",913.0,,,104.0,80.0,,,494.0,4.182,,24.0,
2023,"Lonoke County, Arkansas",33.0,33.0,,0.0,,69.0,161.0,,−5.124,,,230.0
2023,"Lonoke County, Arkansas",954.0,,,121.0,77.0,,,288.0,2.353,,44.0,
2023,"Lonoke County, Arkansas",251.0,261.0,,5.0,44.0,347.0,237.0,110.0,4.893,,-39.0,584.0
2023,"Lonoke County, Arkansas",424.0,462.0,,13.0,22.0,413.0,619.0,,−3.409,,-9.0,1032.0
2023,"Lonoke County, Arkansas",99.0,102.0,552.0,102.0,,552.0,,552.0,200.000,5.58,,
2023,"Lonoke County, Arkansas",184.0,198.0,,,9.0,143.0,197.0,,−2.873,,,340.0
2023,"Lonoke County, Arkansas",954.0,,,121.0,77.0,,,288.0,2.353,,44.0,
