Scenario,place_score,economy_score,community_score,igs_score,place_score_delta,economy_score_delta,community_score_delta,igs_score_delta
Baseline (No Intervention),66.66714128305293,63.94221699682401,65.24038241706926,65.23174078287153,,,,
Focus on Broadband,66.6671412830529,63.942216996824015,65.24038241706926,65.23174078287153,-2.842170943040401e-14,7.105427357601002e-15,0.0,0.0
Education Investment,64.16401894651909,64.16756890313222,65.79923332418798,64.97567531467766,-2.503122336533835,0.22535190630821234,0.5588509071187246,-0.2560654681938672
Housing Affordability,63.13224103760776,63.94221699682401,65.84825279500213,66.38160483856464,-3.534900245445165,0.0,0.6078703779328691,1.149864055693115
Comprehensive Package,61.299215992405664,64.23716614835679,66.40710370212086,65.3695092559486,-5.367925290647264,0.29494915153278356,1.166721285051608,0.13776847307707385
